tipo_passo,tempo,x_final,y_final,z_max
x: 0.05 y: 0.03,0.5847854614257812,0.0504775339247933,0.029356407143729266,0.0475315411043358
x: 0.05 y: 0.03,0.5532891750335693,0.05028511477873411,0.029298436074719422,0.04781414705552897
x: 0.05 y: 0.03,0.5568010807037354,0.05028511477873411,0.029298436074719422,0.04769066436352783
x: 0.03 y: 0.05,0.5503597259521484,0.030266694591726803,0.049146151383528666,0.04745291531418533
x: 0.03 y: 0.05,0.8624124526977539,0.030414005929614144,0.04943413923598315,0.048022084388803274
x: 0.03 y: 0.05,0.5445241928100586,0.03011951237343817,0.04911878633182344,0.04760063077976569
x: 0.05 y: 0.03,0.5573744773864746,0.050321297324193534,0.029341365910821468,0.047861114755857
x: 0.05 y: 0.03,0.5568804740905762,0.050321297324193534,0.029341365910821468,0.04753800587269705
x: 0.05 y: 0.03,0.549903392791748,0.05040476950625149,0.029270556708129766,0.047207487141849
x: 0.03 y: 0.05,0.5462749004364014,0.030263140984015877,0.049079001221578974,0.047882388467753556
x: 0.03 y: 0.05,0.563812255859375,0.030270064485699952,0.04921315320749463,0.047851373351314494
x: 0.03 y: 0.05,0.5584421157836914,0.030414005929614144,0.04917344879998174,0.047199532565318086
x: 0.05 y: 0.03,0.5536737442016602,0.05059754327976472,0.029328569365059107,0.04761815637592477
x: 0.05 y: 0.03,0.5499401092529297,0.05028511477873411,0.029298436074719422,0.04774727819534828
x: 0.05 y: 0.03,0.5623533725738525,0.0504775339247933,0.029356407143729266,0.04729899260768956
x: 0.03 y: 0.05,0.5535895824432373,0.03011951237343817,0.04911878633182344,0.047506658727949846
x: 0.03 y: 0.05,0.5652287006378174,0.030414005929614144,0.04917344879998174,0.047758809198607255
x: 0.03 y: 0.05,0.5647554397583008,0.030414005929614144,0.04917344879998174,0.04773818910014613
x: 0.05 y: 0.03,0.5859227180480957,0.05035723399885393,0.029384210708237754,0.04717094554406655
x: 0.05 y: 0.03,0.5536251068115234,0.05028511477873411,0.029298436074719422,0.047943384186843394
x: 0.05 y: 0.03,0.551964521408081,0.05028511477873411,0.029298436074719422,0.047914726546334246
x: 0.03 y: 0.05,0.5549852848052979,0.03011951237343817,0.048858169712443375,0.020270022479199956
x: 0.03 y: 0.05,0.558845043182373,0.030122781200839402,0.04918586304184773,0.047578397719328966
x: 0.03 y: 0.05,0.5625715255737305,0.030122781200839402,0.04918586304184773,0.0476735930634605
x: 0.05 y: 0.03,0.5712089538574219,0.05035723399885393,0.029123462514485762,0.04756128482482276
x: 0.05 y: 0.03,0.5631053447723389,0.0504775339247933,0.029356407143729266,0.04742587116367031
x: 0.05 y: 0.03,0.5579311847686768,0.050321297324193534,0.029341365910821468,0.047728541557681914
x: 0.03 y: 0.05,0.565882682800293,0.030270064485699952,0.04921315320749463,0.047743275769660476
x: 0.03 y: 0.05,0.5678293704986572,0.030270064485699952,0.04921315320749463,0.04773818910014613
x: 0.03 y: 0.05,0.5484068393707275,0.03011951237343817,0.04911878633182344,0.047213133242364175
x: 0.05 y: 0.03,0.5570125579833984,0.050321297324193534,0.029341365910821468,0.04728310856339499
x: 0.05 y: 0.03,0.5646612644195557,0.050321297324193534,0.029341365910821468,0.04776846211494634
x: 0.05 y: 0.03,0.8746964931488037,0.05020102916783069,0.029108563002758478,0.04708019949626689
x: 0.03 y: 0.05,0.5532116889953613,0.03040248914578804,0.04897177856823008,0.04813679765989563
x: 0.03 y: 0.05,0.5598719120025635,0.030122781200839402,0.04918586304184773,0.04716258500304392
x: 0.03 y: 0.05,0.5632576942443848,0.030414005929614144,0.04917344879998174,0.04762617851959293
x: 0.05 y: 0.03,0.567784309387207,0.0504775339247933,0.029356407143729266,0.047595999552363655
x: 0.05 y: 0.03,0.5509717464447021,0.05040476950625149,0.02901085133034452,0.04748110913604993
x: 0.05 y: 0.03,0.5550477504730225,0.05016516904535971,0.02906606465702795,0.04772347568619738
x: 0.03 y: 0.05,0.562420129776001,0.030266694591726803,0.049146151383528666,0.04702708831146632
x: 0.03 y: 0.05,0.5540769100189209,0.029975627040699823,0.049158505239535286,0.04753910159003691
x: 0.03 y: 0.05,0.5593619346618652,0.030266694591726803,0.049146151383528666,0.047516462682765215
x: 0.05 y: 0.03,0.5539698600769043,0.050129063403290666,0.029283304434776156,0.04759180752327777
x: 0.05 y: 0.03,0.5662453174591064,0.05020102916783069,0.029108563002758478,0.04772347568619738
x: 0.05 y: 0.03,0.5586678981781006,0.05044127487050147,0.029053424772694306,0.047902197520199155
x: 0.03 y: 0.05,0.568932056427002,0.030414005929614144,0.04917344879998174,0.04764881108373539
x: 0.03 y: 0.05,0.5554807186126709,0.03011951237343817,0.04911878633182344,0.04743960908772135
x: 0.03 y: 0.05,0.5417571067810059,0.030263140984015877,0.049079001221578974,0.04727229552544311
x: 0.05 y: 0.03,0.5765817165374756,0.05035723399885393,0.029123462514485762,0.047464034882003014
x: 0.05 y: 0.03,0.5478048324584961,0.05024868627463393,0.028995854836000298,0.04668200750552405
x: 0.05 y: 0.03,0.5667896270751953,0.05035723399885393,0.029123462514485762,0.047595999552363655
x: 0.03 y: 0.05,0.5431575775146484,0.030259403463565412,0.04901170293748468,0.04708488974438717
x: 0.03 y: 0.05,0.8575410842895508,0.029975627040699823,0.049158505239535286,0.03310640962214989
x: 0.03 y: 0.05,0.5582396984100342,0.030122781200839402,0.04918586304184773,0.047199532565318086
x: 0.05 y: 0.03,0.5553979873657227,0.050321297324193534,0.029341365910821468,0.04761750603147767
x: 0.05 y: 0.03,0.5423281192779541,0.05040476950625149,0.02901085133034452,0.047741238692333335
x: 0.05 y: 0.03,0.5522394180297852,0.0504412748705015,0.0293135243943176,0.047728541557681914
x: 0.03 y: 0.05,0.5412676334381104,0.030406512445272663,0.049039150027125375,0.04757627911882739
x: 0.03 y: 0.05,0.5655121803283691,0.030122781200839402,0.04918586304184773,0.04770821050752391
x: 0.03 y: 0.05,0.5575168132781982,0.030266694591726803,0.049146151383528666,0.04760063077976569
